,Book Id,Category
8,22878967,Epic
9,22878967,Fantasy
10,22878967,Fantasy Fiction
13,22878967,Imaginary Wars And Battles
15,37640636,Action & Adventure
16,37640636,Fantasy
20,37640636,Science Fiction
21,13452375,Fantasy
22,13452375,Fantasy Fiction
29,13452375,Science Fiction
30,13452375,Short Stories
39,623976,Children'S Fiction
42,623976,Etc. Pour La Jeunesse
43,623976,Fantasy
44,623976,Fantasy Fiction
50,623976,Juvenile Fiction
57,623976,Nouvelles
58,623976,Novela Fantástica
59,623976,Novela Juvenil
62,56269205,English Literature
65,56269205,Fiction / Fantasy / Epic
71,35606041,English Literature
72,35606041,Epic
73,35606041,Fantasy
74,35606041,Fantasy Fiction
77,35606041,Historical
78,35606041,Imaginary Places
79,35606041,Imaginary Wars And Battles
80,35606041,Kings And Rulers
81,35606041,Magic
85,26114463,Epic
86,26114463,Fantasy
88,26114463,Historical
89,26114463,Revenge
90,50659468,Action & Adventure
91,50659468,Adaptations
93,50659468,Children'S Fiction
95,50659468,Courts And Courtiers
96,50659468,Etc. Pour La Jeunesse
98,50659468,Fantasy
100,50659468,Fantasy Fiction
105,50659468,Magic
107,50659468,Nouvelles
111,60531410,Fantasy
112,60531410,Humor
113,60531410,Science Fiction
115,60531410,Time Travel
116,230824619,Crime
118,230824619,Mystery
119,230824619,Mystery Thriller
122,230824619,Short Stories
123,230824619,Suspense
124,230824619,Thriller
126,54919156,American Literature
129,13496,Action & Adventure
131,13496,American Fantasy Fiction
135,13496,Courts And Courtiers
136,13496,Dragons
137,13496,Epic
138,13496,Epic Fantasy
143,13496,Fantasy
144,13496,Fantasy Fiction
151,13496,Good And Evil
157,13496,Imaginary Places
158,13496,Imaginary Wars And Battles
162,13496,Kings And Rulers
166,13496,Magic
175,13496,Revenge
178,13496,Science Fiction
198,4069,Biographies
199,4069,Biography
206,4069,Drama
217,4069,German
265,4069,Psychology
273,4069,Social Psychology
276,4069,War
281,56922594,Family Life
287,16130549,Alcoholism
290,16130549,Good And Evil
291,16130549,Horror
292,16130549,Horror Fiction
301,16130549,Suspense Fiction
302,11588,Alcoholism
303,11588,American Literature
313,11588,Families
322,11588,Horror
325,11588,Horror Fiction
326,11588,Horror Tales
340,11588,Psychological
344,11588,Suspense
346,11588,Thrillers
354,54120408,British And Irish Fiction (Fictional Works By One Author)
355,54120408,Dystopian
358,54120408,Fiction / Literary
361,54120408,Friendship
364,54120408,Literary
365,54120408,Love
367,54120408,Nouvelles
372,54120408,Science Fiction
376,34703445,Adventure
379,34703445,Fantasy
385,34703445,Humor
390,49021976,Action & Adventure
392,49021976,American Literature
393,49021976,Epic
394,49021976,Fantasy
397,58446227,Action & Adventure
400,58446227,English Literature
401,58446227,Epidemics
404,58446227,Nouvelles
406,58446227,Science Fiction
409,58446227,Time Travel
417,45300567,English Literature
422,45300567,Mystery
423,45300567,Mystery Thriller
426,45300567,Psychological
429,45300567,Suspense
431,45300567,Thriller
432,45300567,Thrillers
440,52578297,Decision Making
441,52578297,Fantasy
443,52578297,Fiction / Literary
449,52578297,Literary
452,52578297,Nouvelles
456,52578297,Science Fiction
458,25451264,Action & Adventure
461,25451264,Extraterrestrial Beings
468,25451264,Imaginary Wars And Battles
469,25451264,Science Fiction
470,25451264,Survival
472,68428,Adventure
473,68428,Courts And Courtiers
475,68428,Epic
476,68428,Fantasía
481,68428,Good And Evil
482,68428,Magia
483,68428,Magic
492,58784475,American Literature
497,68429,Courts And Courtiers
499,68429,Epic
501,68429,Fantasy
502,68429,Fantasy Fiction
503,68429,Fantasía
506,68429,Good And Evil
508,68429,Imaginary Places
511,68429,Magic
513,68429,Nouvelles
517,2767793,Children'S Fiction
518,2767793,Epic Fantasy
519,2767793,Fantasy
520,2767793,Fantasy Fiction
523,2767793,Imaginary Places
524,2767793,Magic
525,56783258,American Literature
528,56783258,Historical
535,56783258,Science Fiction
538,60652997,American Literature
540,60652997,Fantasy
546,60652997,Thrillers
547,35133922,Biography & Autobiography
548,17333223,Amerikanisches Englisch
554,17333223,Bildungsromans
555,17333223,Chang Pian Xiao Shuo
556,17333223,Coming Of Age
557,17333223,Family Life
561,17333223,Fiction / Literary
563,17333223,Friendship
568,17333223,Literary
570,17333223,New York (N.Y.)
572,17333223,Nouvelles
576,17333223,Psychological
579,17333223,Roman
584,17333223,Spanish Language Materials
585,17333223,Survival
586,17333223,Suspense Fiction
588,17333223,Young Men
589,54493401,Action & Adventure
605,54493401,Nouvelles
608,54493401,Science Fiction
609,54493401,Science-Fiction
610,54493401,Shipwrecks
612,54493401,Survival
617,221733722,American Literature
619,221733722,Horror
620,221733722,Mystery
621,221733722,Mystery Thriller
623,221733722,Suspense
624,221733722,Thriller
632,41881472,Business & Economics
634,41881472,Ethics
643,41881472,Psychology
654,15839976,Fantasy
666,18693771,Alcoholism
693,18693771,Psychology
711,68427,Epic
712,68427,Fantasy
713,68427,Fantasy Fiction
715,68427,Fiction / Fantasy / Epic
718,68427,Nouvelles
724,57850265,American Literature
727,57850265,Epidemics
730,57850265,Fiction / Literary
732,57850265,Interpersonal Relations
733,57850265,Life On Other Planets
735,57850265,Nouvelles
747,52397,American Literature
749,52397,Audiobooks
752,52397,Comic Books
753,52397,Comics & Graphic Novels
756,52397,Dystopian
757,52397,Dystopias
763,52397,Literary
767,52397,Science Fiction
768,52397,Strips
769,52397,Survival
777,18952381,Fantasy
779,18952381,Fiction / Action & Adventure
780,18952381,Fiction / Fantasy / Epic
782,18952381,Friendship
784,18952381,Imaginary Wars And Battles
788,51942513,Conduct Of Life
795,51942513,Psychology
796,51942513,Self-Help
801,1303,Audiobooks
803,1303,Business & Economics
804,1303,Conduct Of Life
834,1303,Psychology
835,1303,Self-Help
844,9547888,Interpersonal Relations
846,9547888,Psychology
855,44421460,Friendship
857,44421460,Love
