,Unnamed: 0,Book Id,Category
3,3,58416952,High Fantasy
8,8,22878967,Fantasy
9,9,22878967,Fantasy Fiction
13,13,37640636,Action & Adventure
14,14,37640636,Fantasy
17,17,37640636,Genius
18,18,37640636,Science Fiction
19,19,13452375,Fantasy
20,20,13452375,Fantasy Fiction
23,23,13452375,Genius
26,26,13452375,Multiple Personality
27,27,13452375,Science Fiction
28,28,13452375,Short Stories
37,37,623976,Children'S Fiction
40,40,623976,Etc. Pour La Jeunesse
41,41,623976,Fantasy
42,42,623976,Fantasy Fiction
48,48,623976,Juvenile Fiction
55,55,623976,Nouvelles
56,56,623976,Novela Fantástica
57,57,623976,Novela Juvenil
60,60,56269205,English Literature
63,63,56269205,Fiction / Fantasy / Epic
66,66,56269205,Quests (Expeditions)
67,67,56269205,Vampires
68,68,35606041,Dark Fantasy
69,69,35606041,English Literature
70,70,35606041,Epic
71,71,35606041,Fantasy
72,72,35606041,Fantasy Fiction
74,74,35606041,Geographical Myths
75,75,35606041,Historical
76,76,35606041,Imaginary Places
77,77,35606041,Imaginary Wars And Battles
78,78,35606041,Kings And Rulers
79,79,35606041,Magic
83,83,26114463,Epic
84,84,26114463,Fantasy
86,86,26114463,Historical
87,87,26114463,Revenge
88,88,50659468,Action & Adventure
89,89,50659468,Adaptations
90,90,50659468,Blessing And Cursing
91,91,50659468,Children'S Fiction
93,93,50659468,Courts And Courtiers
94,94,50659468,Etc. Pour La Jeunesse
96,96,50659468,Fantasy
98,98,50659468,Fantasy Fiction
103,103,50659468,Magic
105,105,50659468,Nouvelles
108,108,60531410,Adult
109,109,60531410,Fantasy
110,110,60531410,Humor
111,111,60531410,Science Fiction
113,113,60531410,Time Travel
114,114,230824619,Crime
116,116,230824619,Mystery
117,117,230824619,Mystery Thriller
118,118,230824619,Novella
119,119,230824619,Psychological Thriller
120,120,230824619,Short Stories
121,121,230824619,Suspense
122,122,230824619,Thriller
124,124,54919156,American Literature
127,127,13496,Action & Adventure
128,128,13496,Adult
129,129,13496,American Fantasy Fiction
130,130,13496,Betrayal
131,131,13496,Bien Y Mal
133,133,13496,Courts And Courtiers
134,134,13496,Dragons
135,135,13496,Epic
136,136,13496,Epic Fantasy
137,137,13496,Epic Fiction
138,138,13496,Epic Literature
139,139,13496,Family
141,141,13496,Fantasy
142,142,13496,Fantasy Fiction
149,149,13496,Good And Evil
151,151,13496,Guerras Imaginarias
152,152,13496,High Fantasy
153,153,13496,Hugo Award Winner
155,155,13496,Imaginary Places
156,156,13496,Imaginary Wars And Battles
157,157,13496,Incest
160,160,13496,Kings And Rulers
163,163,13496,Loyalty
164,164,13496,Magic
173,173,13496,Revenge
176,176,13496,Science Fiction
179,179,13496,Seven Kingdoms (Imaginary Place)
180,180,13496,Supernatural
182,182,13496,Vengeance
183,183,13496,Voyages And Travels
184,184,13496,Walls
185,185,13496,War And Conflict
189,189,4069,1939-1945
194,194,4069,Biografía
196,196,4069,Biographies
197,197,4069,Biography
202,202,4069,Correspondence
204,204,4069,Drama
215,215,4069,German
217,217,4069,Guerre Mondiale
225,225,4069,Internal Medicine
239,239,4069,Meaning (Psychology)
246,246,4069,Personal Narratives
257,257,4069,Psychological Aspects
260,260,4069,Psychologie
263,263,4069,Psychology
271,271,4069,Social Psychology
272,272,4069,Spirituality
274,274,4069,War
275,275,4069,War And Conflict
276,276,4069,World War
279,279,56922594,Family Life
285,285,16130549,Alcoholism
286,286,16130549,Bien Y Mal
288,288,16130549,Good And Evil
289,289,16130549,Horror
290,290,16130549,Horror Fiction
291,291,16130549,Large Print Books
296,296,16130549,Paranormal Fiction
297,297,16130549,Psychic Ability
298,298,16130549,Psychics
299,299,16130549,Suspense Fiction
300,300,11588,Alcoholism
301,301,11588,American Literature
302,302,11588,Authors
304,304,11588,Boys
309,309,11588,Demonology
311,311,11588,Families
312,312,11588,Family
315,315,11588,Fiction / Horror
320,320,11588,Horror
323,323,11588,Horror Fiction
324,324,11588,Horror Tales
330,330,11588,Occult & Supernatural
332,332,11588,Paranormal Fiction
337,337,11588,Psychics
338,338,11588,Psychological
342,342,11588,Suspense
344,344,11588,Thrillers
350,350,54120408,Amitié
351,351,54120408,Artificial Intelligence
352,352,54120408,British And Irish Fiction (Fictional Works By One Author)
353,353,54120408,Dystopian
356,356,54120408,Fiction / Literary
357,357,54120408,Fiction / Science Fiction / General
359,359,54120408,Friendship
362,362,54120408,Literary
363,363,54120408,Love
365,365,54120408,Nouvelles
367,367,54120408,Robots
368,368,54120408,Romance Fiction
370,370,54120408,Science Fiction
372,372,54120408,The Future
374,374,34703445,Adventure
377,377,34703445,Fantasy
383,383,34703445,Humor
384,384,34703445,Novella
387,387,34703445,Young Adult
388,388,49021976,Action & Adventure
389,389,49021976,Action And Adventure
390,390,49021976,American Literature
391,391,49021976,Epic
392,392,49021976,Fantasy
396,396,58446227,English Literature
397,397,58446227,Epidemics
400,400,58446227,Nouvelles
402,402,58446227,Space And Time
404,404,58446227,Time Travel
409,409,45300567,English Literature
411,411,45300567,Fiction / Thrillers / Psychological
412,412,45300567,Fiction / Thrillers / Suspense
414,414,45300567,Greek Mythology
415,415,45300567,Murderers
417,417,45300567,Psychological
419,419,45300567,Secret Societies
421,421,45300567,Thrillers
428,428,52578297,Choice (Psychology)
430,430,52578297,Decision Making
431,431,52578297,Fantasy
433,433,52578297,Fiction / Literary
438,438,52578297,Libraries
439,439,52578297,Literary
442,442,52578297,Nouvelles
443,443,52578297,Prise De Décision
446,446,52578297,Science Fiction
448,448,25451264,Action & Adventure
451,451,25451264,Extraterrestrial Beings
454,454,25451264,Fiction / Science Fiction / Hard Science Fiction
456,456,25451264,Hard Science Fiction
457,457,25451264,Human-Alien Encounters
458,458,25451264,Imaginary Wars And Battles
459,459,25451264,Science Fiction
460,460,25451264,Survival
462,462,68428,Adventure
463,463,68428,Courts And Courtiers
465,465,68428,Epic
466,466,68428,Fantasy
467,467,68428,Fantasy Fiction
468,468,68428,Fantasía
472,472,68428,Good And Evil
473,473,68428,Magia
474,474,68428,Magic
481,481,58784475,American Literature
486,486,68429,Courts And Courtiers
488,488,68429,Epic
489,489,68429,Etc
490,490,68429,Fantasy
491,491,68429,Fantasy Fiction
492,492,68429,Fantasía
495,495,68429,Good And Evil
497,497,68429,Imaginary Places
500,500,68429,Magic
502,502,68429,Nouvelles
506,506,2767793,Children'S Fiction
507,507,2767793,Epic Fantasy
508,508,2767793,Fantasy
509,509,2767793,Fantasy Fiction
512,512,2767793,Imaginary Places
513,513,2767793,Magic
514,514,56783258,American Literature
517,517,56783258,Historical
520,520,56783258,Libraries
524,524,56783258,Science Fiction
526,526,56783258,The Future
527,527,60652997,American Literature
528,528,60652997,Contemporary
529,529,60652997,Fantasy
532,532,60652997,Occult & Supernatural
533,533,60652997,Paranormal
534,534,60652997,Supernatural
535,535,60652997,Thrillers
536,536,35133922,Biography & Autobiography
537,537,17333223,Amerikanisches Englisch
541,541,17333223,Artists
543,543,17333223,Bildungsromans
544,544,17333223,Chang Pian Xiao Shuo
545,545,17333223,Coming Of Age
546,546,17333223,Family Life
549,549,17333223,Fiction / Coming Of Age
550,550,17333223,Fiction / Literary
551,551,17333223,Fiction / Psychological
552,552,17333223,Friendship
557,557,17333223,Literary
558,558,17333223,Loss (Psychology)
559,559,17333223,New York (N.Y.)
561,561,17333223,Nouvelles
565,565,17333223,Psychological
567,567,17333223,Rich People
568,568,17333223,Roman
571,571,17333223,Self-Acceptance
572,572,17333223,Self-Realization
573,573,17333223,Spanish Language Materials
574,574,17333223,Survival
575,575,17333223,Suspense Fiction
577,577,17333223,Young Men
578,578,54493401,Action & Adventure
581,581,54493401,End Of The World
584,584,54493401,Fiction / Science Fiction / Hard Science Fiction
585,585,54493401,Fiction / Thrillers / Suspense
587,587,54493401,Habiletés De Survie
589,589,54493401,Hard Science Fiction
594,594,54493401,Nouvelles
