,Book Id,Category
0,18400112,Language Arts & Disciplines
1,62047984,Language Arts & Disciplines
2,58416952,Fiction
3,58416952,High Fantasy
4,58416952,Series:Hierarchy
5,20886354,Language Arts & Disciplines
6,58778536,Language Arts & Disciplines
7,40121378,Language Arts & Disciplines
8,22878967,Fantasy
9,22878967,Fantasy Fiction
10,22878967,Fiction
11,22878967,General
12,42976986,Language Arts & Disciplines
13,37640636,Action & Adventure
14,37640636,Fantasy
15,37640636,Fiction
16,37640636,General
17,37640636,Genius
18,37640636,Science Fiction
19,13452375,Fantasy
20,13452375,Fantasy Fiction
21,13452375,Fiction
22,13452375,General
23,13452375,Genius
24,13452375,Gifted Persons
25,13452375,Hallucinations And Illusions
26,13452375,Multiple Personality
27,13452375,Science Fiction
28,13452375,Short Stories
29,196915235,Language Arts & Disciplines
30,55596771,Fiction
31,52616342,Language Arts & Disciplines
32,36337550,Language Arts & Disciplines
33,623976,Abuelos (Hombres)
34,623976,Aptitudes Motoras
35,623976,Bibliotecarios
36,623976,Bibliothécaires
37,623976,Children'S Fiction
38,623976,Clumsiness
39,623976,Cuentos Humorosos
40,623976,Etc. Pour La Jeunesse
41,623976,Fantasy
42,623976,Fantasy Fiction
43,623976,Fiction
44,623976,Grandfathers
45,623976,Grandparents
46,623976,Grands-Pères
47,623976,Humorous Stories
48,623976,Juvenile Fiction
49,623976,Juvenile Fiction / Action & Adventure / General
50,623976,Juvenile Fiction / Fantasy & Magic
51,623976,Librarians
52,623976,Maladresse
53,623976,Materiales En Español
54,623976,New York Times Bestseller
55,623976,Nouvelles
56,623976,Novela Fantástica
57,623976,Novela Juvenil
58,623976,Romans
59,60387416,Language Arts & Disciplines
60,56269205,English Literature
61,56269205,Fiction
62,56269205,Fiction / Fantasy / Action & Adventure
63,56269205,Fiction / Fantasy / Epic
64,56269205,Grail
65,56269205,New York Times Bestseller
66,56269205,Quests (Expeditions)
67,56269205,Vampires
68,35606041,Dark Fantasy
69,35606041,English Literature
70,35606041,Epic
71,35606041,Fantasy
72,35606041,Fantasy Fiction
73,35606041,Fiction
74,35606041,Geographical Myths
75,35606041,Historical
76,35606041,Imaginary Places
77,35606041,Imaginary Wars And Battles
78,35606041,Kings And Rulers
79,35606041,Magic
80,35606041,New York Times Bestseller
81,35606041,Prophets
82,35606041,Sci-Fi & Fantasy
83,26114463,Epic
84,26114463,Fantasy
85,26114463,Fiction
86,26114463,Historical
87,26114463,Revenge
88,50659468,Action & Adventure
89,50659468,Adaptations
90,50659468,Blessing And Cursing
91,50659468,Children'S Fiction
92,50659468,Cours Et Courtisans
93,50659468,Courts And Courtiers
94,50659468,Etc. Pour La Jeunesse
95,50659468,Fairies
96,50659468,Fantasy
97,50659468,Fantasy & Magic
98,50659468,Fantasy Fiction
99,50659468,Fiction
100,50659468,Fées
101,50659468,General
102,50659468,Love & Romance
103,50659468,Magic
104,50659468,New York Times Bestseller
105,50659468,Nouvelles
106,50659468,Romans
107,50659468,Series:A Court Of Thorns And Roses
108,60531410,Adult
109,60531410,Fantasy
110,60531410,Humor
111,60531410,Science Fiction
112,60531410,Series:Secret Projects
113,60531410,Time Travel
114,230824619,Crime
115,230824619,Fiction
116,230824619,Mystery
117,230824619,Mystery Thriller
118,230824619,Novella
119,230824619,Psychological Thriller
120,230824619,Short Stories
121,230824619,Suspense
122,230824619,Thriller
123,55279022,Language Arts & Disciplines
124,54919156,American Literature
125,54919156,Fiction
126,13496,Accessible Book
127,13496,Action & Adventure
128,13496,Adult
129,13496,American Fantasy Fiction
130,13496,Betrayal
131,13496,Bien Y Mal
132,13496,Civil War
133,13496,Courts And Courtiers
134,13496,Dragons
135,13496,Epic
136,13496,Epic Fantasy
137,13496,Epic Fiction
138,13496,Epic Literature
139,13496,Family
140,13496,Fantastic Fiction
141,13496,Fantasy
142,13496,Fantasy Fiction
143,13496,Feudalism
144,13496,Ficción
145,13496,Fiction
146,13496,Folk Healers
147,13496,Forced Marriage
148,13496,General
149,13496,Good And Evil
150,13496,Guerra Civil
151,13496,Guerras Imaginarias
152,13496,High Fantasy
153,13496,Hugo Award Winner
154,13496,Ignotus Award Winner
155,13496,Imaginary Places
156,13496,Imaginary Wars And Battles
157,13496,Incest
158,13496,Intrigue
159,13496,Invierno
160,13496,Kings And Rulers
161,13496,Knights
162,13496,Locus Award Winner
163,13496,Loyalty
164,13496,Magic
165,13496,Moral Ambiguity
166,13496,New York Times Bestseller
167,13496,Novela
168,13496,Overdrive
169,13496,Penal Colonies
170,13496,Persistent Vegetative States
171,13496,Politics
172,13496,Protected Daisy
173,13496,Revenge
174,13496,Reyes Y Soberanos
175,13496,Royalty And Nobility
176,13496,Science Fiction
177,13496,Seasons
178,13496,Series:A Song Of Ice And Fire
179,13496,Seven Kingdoms (Imaginary Place)
180,13496,Supernatural
181,13496,Trial By Combat
182,13496,Vengeance
183,13496,Voyages And Travels
184,13496,Walls
185,13496,War And Conflict
186,13496,Wights
187,13496,Winter
188,4069,1905-1997
189,4069,1939-1945
190,4069,Aspect Psychologique
191,4069,Aspectos Psicológicos
192,4069,Austria
193,4069,Autobiography
194,4069,Biografía
195,4069,Biografías
196,4069,Biographies
197,4069,Biography
198,4069,Camps De Concentration
199,4069,Collected Works
200,4069,Concentration Camp Inmates
201,4069,Concentration Camps
202,4069,Correspondence
203,4069,Counseling
204,4069,Drama
205,4069,Erlebnisbericht
206,4069,Existential Psychology
207,4069,Existential Psychotherapy
208,4069,Existentialism
209,4069,Existentialisme
210,4069,Existentiell Psykoterapi
211,4069,Fen Xi Xin Li Xue
212,4069,Frankl
213,4069,Freedom Of Choice
214,4069,Förintelsen
215,4069,German
216,4069,German Prisoners And Prisons
217,4069,Guerre Mondiale
218,4069,Holocaust
219,4069,Holocaust - Personal Narratives
220,4069,Holocaust - Study & Teaching
221,4069,Holocaust Biographies
222,4069,Holocauste
223,4069,Holocausto
224,4069,Individual Psychologists
225,4069,Internal Medicine
226,4069,Jewish (1939-1945)
227,4069,Jewish (1939-1945) Fast (Ocolc)Fst00958866
228,4069,Jing Shen Fen Xi
229,4069,Judío (1939-1945)
230,4069,Kapo
231,4069,Koncentrationsläger
232,4069,Konzentrationslager
233,4069,Livets Mening
234,4069,Logoterapi
235,4069,Logoterapia
236,4069,Logotherapie
237,4069,Logotherapy
238,4069,Logothérapie
239,4069,Meaning (Psychology)
240,4069,Meaning Of Life
241,4069,Narrativas Personales
242,4069,Nazi Concentration Camp Inmates
243,4069,Nazi Concentration Camps
244,4069,Organization & Administration
245,4069,Pathological Psychology
246,4069,Personal Narratives
247,4069,Prison Psychology
248,4069,Prisoners And Prisons
249,4069,Prisonniers
250,4069,Prisonniers Et Prisons Des Allemands
251,4069,Prisons
252,4069,Psicoterapia
253,4069,Psychiatrie
254,4069,Psychiatrists & Psychologists - Biography
255,4069,Psychoanalysis And Philosophy
256,4069,Psychoanalytic Therapy
257,4069,Psychological Aspects
258,4069,Psychological Aspects Of Concentration Camps
259,4069,Psychological Aspects Of Holocaust
260,4069,Psychologie
261,4069,Psychologists
262,4069,Psychologues
263,4069,Psychology
264,4069,Psychotherapy
265,4069,Psykologiska Aspekter
266,4069,Recits Personnels
267,4069,Récits Personnels
268,4069,Sens (Philosophie)
269,4069,Shoah
270,4069,Significación (Psicología)
271,4069,Social Psychology
272,4069,Spirituality
273,4069,Viktor Emil
274,4069,War
275,4069,War And Conflict
276,4069,World War
277,4069,X
278,10572,Language Arts & Disciplines
279,56922594,Family Life
280,56922594,Fiction
281,56922594,General
282,56922594,New York Times Bestseller
283,56922594,Religious
284,56922594,Visionary & Metaphysical
285,16130549,Alcoholism
286,16130549,Bien Y Mal
287,16130549,Fiction
288,16130549,Good And Evil
289,16130549,Horror
290,16130549,Horror Fiction
291,16130549,Large Print Books
292,16130549,Large Type Books
293,16130549,Middle-Aged Men
294,16130549,Novela
295,16130549,Occult Fiction
296,16130549,Paranormal Fiction
297,16130549,Psychic Ability
298,16130549,Psychics
299,16130549,Suspense Fiction
300,11588,Alcoholism
301,11588,American Literature
302,11588,Authors
303,11588,Backstories
304,11588,Boys
305,11588,Cabin Fever
306,11588,Caretakers
307,11588,Clairvoyance
308,11588,Colorado
309,11588,Demonology
310,11588,Extrasensory Perception
311,11588,Families
312,11588,Family
313,11588,Fiction
314,11588,Fiction - Horror
315,11588,Fiction / Horror
316,11588,Ghost Fiction
317,11588,Ghosts
318,11588,Gothic & Horror
319,11588,Haunted Houses
320,11588,Horror
321,11588,Horror & Ghost Stories
322,11588,Horror - General
323,11588,Horror Fiction
324,11588,Horror Tales
325,11588,Hotelkeepers
326,11588,Hotels
327,11588,Jack (Fictitious Character)
328,11588,Military History
329,11588,New York Times Bestseller
330,11588,Occult & Supernatural
331,11588,Occultism
332,11588,Paranormal Fiction
333,11588,Paranormal Fiction Suspense & Thriller
334,11588,Plays
335,11588,Precognition
336,11588,Property
337,11588,Psychics
338,11588,Psychological
339,11588,Roque
340,11588,Strategy
341,11588,Supernatural Thrillers
342,11588,Suspense
343,11588,Telepathy
344,11588,Thrillers
345,11588,Topiary
346,11588,Torrance
347,62291,Language Arts & Disciplines
348,13497,Language Arts & Disciplines
349,10664113,Language Arts & Disciplines
350,54120408,Amitié
351,54120408,Artificial Intelligence
352,54120408,British And Irish Fiction (Fictional Works By One Author)
353,54120408,Dystopian
354,54120408,Electronic Books
355,54120408,Fiction
356,54120408,Fiction / Literary
357,54120408,Fiction / Science Fiction / General
358,54120408,Fiction / Visionary & Metaphysical
359,54120408,Friendship
360,54120408,General
361,54120408,Intelligence Artificielle
362,54120408,Literary
363,54120408,Love
364,54120408,New York Times Bestseller
365,54120408,Nouvelles
366,54120408,Paid Companions (Household Employees)
367,54120408,Robots
368,54120408,Romance Fiction
369,54120408,Romans
370,54120408,Science Fiction
371,54120408,Speculative Fiction
372,54120408,The Future
373,54511226,Language Arts & Disciplines
374,34703445,Adventure
375,34703445,Brandon Sanderson
376,34703445,Coming-Of-Age
377,34703445,Fantasy
378,34703445,Female Protagonist
379,34703445,Fiction
380,34703445,General
381,34703445,Healing
382,34703445,Hope
383,34703445,Humor
384,34703445,Novella
385,34703445,Self-Discovery
386,34703445,Spiritual Journey
387,34703445,Young Adult
388,49021976,Action & Adventure
389,49021976,Action And Adventure
390,49021976,American Literature
391,49021976,Epic
392,49021976,Fantasy
393,49021976,Fiction
394,49021976,New York Times Bestseller
395,58446227,Colonies Spatiales
396,58446227,English Literature
397,58446227,Epidemics
398,58446227,Fiction
399,58446227,New York Times Bestseller
400,58446227,Nouvelles
401,58446227,Romans
402,58446227,Space And Time
403,58446227,Space Colonies
404,58446227,Time Travel
405,58446227,Women Authors
406,58446227,Écrivaines
407,20518872,Language Arts & Disciplines
408,45300567,College Teachers
409,45300567,English Literature
410,45300567,Fiction
411,45300567,Fiction / Thrillers / Psychological
412,45300567,Fiction / Thrillers / Suspense
413,45300567,General
414,45300567,Greek Mythology
415,45300567,Murderers
416,45300567,New York Times Bestseller
417,45300567,Psychological
418,45300567,Psychotherapists
419,45300567,Secret Societies
420,45300567,Teacher-Student Relationships
421,45300567,Thrillers
422,45300567,Truthfulness And Falsehood
423,45300567,University Of Cambridge
424,45300567,Women Psychotherapists
425,18162954,Language Arts & Disciplines
426,23168817,Language Arts & Disciplines
427,52578297,Bibliothèques
428,52578297,Choice (Psychology)
429,52578297,Choix (Psychologie)
430,52578297,Decision Making
431,52578297,Fantasy
432,52578297,Fiction
433,52578297,Fiction / Literary
434,52578297,Fiction / Science Fiction / Time Travel
435,52578297,Fiction / Women
436,52578297,Future Life
437,52578297,General
438,52578297,Libraries
439,52578297,Literary
440,52578297,New York Times Bestseller
441,52578297,New York Times Reviewed
442,52578297,Nouvelles
443,52578297,Prise De Décision
444,52578297,Regret
445,52578297,Romans
446,52578297,Science Fiction
447,52578297,Vie Future
448,25451264,Action & Adventure
449,25451264,Alien Contact
450,25451264,Chinese Science Fiction
451,25451264,Extraterrestrial Beings
452,25451264,Fiction
453,25451264,Fiction / Science Fiction / Alien Contact
454,25451264,Fiction / Science Fiction / Hard Science Fiction
455,25451264,General
456,25451264,Hard Science Fiction
457,25451264,Human-Alien Encounters
458,25451264,Imaginary Wars And Battles
459,25451264,Science Fiction
460,25451264,Survival
461,68428,Adulto
462,68428,Adventure
463,68428,Courts And Courtiers
464,68428,Covert Operations
465,68428,Epic
466,68428,Fantasy
467,68428,Fantasy Fiction
468,68428,Fantasía
469,68428,Ficción
470,68428,Fiction
471,68428,General
472,68428,Good And Evil
473,68428,Magia
474,68428,Magic
475,68428,Mystical Powers
476,68428,Nobility
477,68428,Slaves
478,68428,Thieves
479,68428,Upraising
480,68428,Women Revolutionaries
481,58784475,American Literature
482,58784475,Fiction
483,58784475,Modern Fiction
484,58784475,New York Times Bestseller
485,68429,Cours Et Courtisans -- Romans
486,68429,Courts And Courtiers
487,68429,Courts And Courtiers -- Fiction
488,68429,Epic
489,68429,Etc
490,68429,Fantasy
491,68429,Fantasy Fiction
492,68429,Fantasía
493,68429,Fiction
494,68429,General
495,68429,Good And Evil
496,68429,Good And Evil -- Fiction
497,68429,Imaginary Places
498,68429,Imaginary Places -- Fiction
499,68429,Lieux Imaginaires -- Romans
500,68429,Magic
501,68429,Magic -- Fiction
502,68429,Nouvelles
503,68429,Sieges
504,68429,Sieges -- Fiction
505,68429,SièGes (Histoire) -- Romans
506,2767793,Children'S Fiction
507,2767793,Epic Fantasy
508,2767793,Fantasy
509,2767793,Fantasy Fiction
510,2767793,Fiction
511,2767793,General
512,2767793,Imaginary Places
513,2767793,Magic
514,56783258,American Literature
515,56783258,Fiction
516,56783258,General
517,56783258,Historical
518,56783258,Idaho
519,56783258,Istanbul (Turkey)
520,56783258,Libraries
521,56783258,Medieval
522,56783258,Multiple Timelines
523,56783258,New York Times Bestseller
524,56783258,Science Fiction
525,56783258,Space
526,56783258,The Future
527,60652997,American Literature
528,60652997,Contemporary
529,60652997,Fantasy
530,60652997,Fiction
531,60652997,New York Times Bestseller
532,60652997,Occult & Supernatural
533,60652997,Paranormal
534,60652997,Supernatural
535,60652997,Thrillers
536,35133922,Biography & Autobiography
537,17333223,Amerikanisches Englisch
538,17333223,Art
539,17333223,Artistas
540,17333223,Artistes
541,17333223,Artists
542,17333223,Auto-Realización
543,17333223,Bildungsromans
544,17333223,Chang Pian Xiao Shuo
545,17333223,Coming Of Age
546,17333223,Family Life
547,17333223,Ficción
548,17333223,Fiction
549,17333223,Fiction / Coming Of Age
550,17333223,Fiction / Literary
551,17333223,Fiction / Psychological
552,17333223,Friendship
553,17333223,Goldfinch
554,17333223,Jeunes Hommes
555,17333223,Jóvenes (Varones)
556,17333223,Large Type Books
557,17333223,Literary
558,17333223,Loss (Psychology)
559,17333223,New York (N.Y.)
560,17333223,New York Times Bestseller
561,17333223,Nouvelles
562,17333223,Novela
563,17333223,Perte (Psychologie)
564,17333223,Pintores
565,17333223,Psychological
566,17333223,Pérdida (Psicología)
567,17333223,Rich People
568,17333223,Roman
569,17333223,Romans
570,17333223,Réalisation De Soi
571,17333223,Self-Acceptance
572,17333223,Self-Realization
573,17333223,Spanish Language Materials
574,17333223,Survival
575,17333223,Suspense Fiction
576,17333223,Transitional Objects (Psychology)
577,17333223,Young Men
578,54493401,Action & Adventure
579,54493401,Astronautes
580,54493401,Astronauts
581,54493401,End Of The World
582,54493401,Fiction
583,54493401,Fiction / Science Fiction / Action & Adventure
584,54493401,Fiction / Science Fiction / Hard Science Fiction
585,54493401,Fiction / Thrillers / Suspense
586,54493401,Fin Du Monde
587,54493401,Habiletés De Survie
588,54493401,Hard Sci-Fi
589,54493401,Hard Science Fiction
590,54493401,Hard Science-Fiction
591,54493401,Memory Disorders
592,54493401,New York Times Bestseller
593,54493401,New York Times Reviewed
594,54493401,Nouvelles
595,54493401,Romans
596,54493401,Sci-Fi
597,54493401,Science Fiction
598,54493401,Science-Fiction
599,54493401,Shipwrecks
600,54493401,Space Flight
601,54493401,Survival
602,54493401,Survival After Airplane Accidents
603,54493401,Vol Spatial
604,61242426,Language Arts & Disciplines
605,61474080,Language Arts & Disciplines
606,221733722,American Literature
607,221733722,Fiction
608,221733722,Horror
609,221733722,Mystery
610,221733722,Mystery Thriller
611,221733722,Psychological Thriller
612,221733722,Suspense
613,221733722,Thriller
614,61126612,Fiction
615,54386622,Language Arts & Disciplines
616,34051011,Language Arts & Disciplines
617,41886271,Language Arts & Disciplines
618,56791389,Language Arts & Disciplines
619,41881472,Accounting
620,41881472,Attitude Change
621,41881472,Business & Economics
622,41881472,Consumption (Economics)
623,41881472,Ethics
624,41881472,Finance
625,41881472,Financial Literacy
626,41881472,Investing
627,41881472,Management
628,41881472,Money
629,41881472,Personal
630,41881472,Personal Finance
631,41881472,Psychological Aspects
632,41881472,Psychology
633,41881472,Quality Of Life
634,41881472,Richesse
635,41881472,Satisfaction
636,41881472,Self-Help Techniques
637,41881472,Wealth
638,30646587,Language Arts & Disciplines
639,203578847,Fiction
640,203578847,Series:Stormlight Archive
641,157608295,Language Arts & Disciplines
642,15839976,Dystopia
643,15839976,Fantasy
644,15839976,Fiction
645,15839976,Science Fiction
646,15839976,Young Adult
647,68320207,Language Arts & Disciplines
648,25076674,Language Arts & Disciplines
649,18693771,Abuse
650,18693771,Addiction
651,18693771,Alcoholism
652,18693771,Brain
653,18693771,Clinical Medicine
654,18693771,Combat
655,18693771,Diseases
656,18693771,Evidence-Based Medicine
657,18693771,General
658,18693771,Health & Fitness
659,18693771,Internal Medicine
660,18693771,Körpererfahrung
661,18693771,Medical
662,18693771,Mental Health
663,18693771,Mind And Body
664,18693771,Neurology
665,18693771,Neuroplasticity
666,18693771,Neuroscience
667,18693771,Neurowissenschaften
668,18693771,New York Times Bestseller
669,18693771,New York Times Reviewed
670,18693771,Physical Violence Recovery
671,18693771,Physiopathology
672,18693771,Post-Traumatic
673,18693771,Post-Traumatic Stress Disorder
674,18693771,Post-Traumatic Stress Disorder (Ptsd)
675,18693771,Posttraumatisches Stresssyndrom
676,18693771,Psychic Trauma
677,18693771,Psychisches Trauma
678,18693771,Psychology
679,18693771,Psychotherapie
680,18693771,Sexual Abuse
681,18693771,Sexual Trauma
682,18693771,Stress Disorders
683,18693771,Therapie
684,18693771,Therapy
685,18693771,Traitement
686,18693771,Trauma Survivors
687,18693771,Traumatisme Psychique
688,18693771,Treatment
689,18693771,Veterans
690,18693771,Violence
691,18693771,État De Stress Post-Traumatique
692,1268479,Language Arts & Disciplines
693,68427,Blessing And Cursing
694,68427,Bénédiction Et Malédiction
695,68427,City And Town Life
696,68427,Epic
697,68427,Fantasy
698,68427,Fantasy Fiction
699,68427,Fiction
700,68427,Fiction / Fantasy / Epic
701,68427,General
702,68427,Klątwa
703,68427,Nouvelles
704,68427,Princes
705,68427,Princesses
706,68427,Romans
707,68427,Vie Urbaine
708,68427,Wojna
709,57850265,American Literature
710,57850265,Climate
711,57850265,Décadence
712,57850265,Epidemics
713,57850265,Fiction
714,57850265,Fiction / Humorous / General
715,57850265,Fiction / Literary
716,57850265,Fiction / Satire
717,57850265,Interpersonal Relations
718,57850265,Life On Other Planets
719,57850265,Maladies À Virus
720,57850265,Nouvelles
721,57850265,Plague
722,57850265,Regression (Civilization)
723,57850265,Resilience (Personality Trait)
724,57850265,Romans
725,57850265,Résilience (Trait De Personnalité)
726,57850265,Virus Diseases
727,52397,813/.54
728,52397,African American
729,52397,African American Women
730,52397,African Americans
731,52397,African Americans--Fiction
732,52397,American Literature
733,52397,Apocalyptic & Post-Apocalyptic
734,52397,Audiobooks
735,52397,Black Teenage Girls
736,52397,California
737,52397,Comic Books
738,52397,Comics & Graphic Novels
739,52397,Comics & Graphic Novels / Historical Fiction
740,52397,Comics & Graphic Novels / Science Fiction
741,52397,Dystopian
742,52397,Dystopias
743,52397,Environmental Disasters
744,52397,Faith
745,52397,Fiction
746,52397,General
747,52397,Graphic Novels
748,52397,Literary
749,52397,New York Times Bestseller
750,52397,Ps3552.U827 P37 2000
751,52397,Psychic Ability
752,52397,Science Fiction
753,52397,Strips
754,52397,Survival
755,52397,Twenty-First Century
756,52397,Twenty-First Century--Fiction
757,52397,Women
758,50252588,Language Arts & Disciplines
759,49682914,Language Arts & Disciplines
760,112974860,New York Times Bestseller
761,112974860,Social Science
762,18952381,Fantasy
763,18952381,Fiction
764,18952381,Fiction / Action & Adventure
765,18952381,Fiction / Fantasy / Epic
766,18952381,Fiction / Fantasy / General
767,18952381,Friendship
768,18952381,General
769,18952381,Imaginary Wars And Battles
770,18952381,Revolutions
771,57684325,Language Arts & Disciplines
772,51942513,Buddhism
773,51942513,Conduct Of Life
774,51942513,Doctrines
775,51942513,Happiness
776,51942513,Hinduism
777,51942513,Meaning (Psychology)
778,51942513,Monastic And Religious Life
779,51942513,New York Times Bestseller
780,51942513,Psychology
781,51942513,Self-Help
782,51942513,Self-Realization
783,124950497,Language Arts & Disciplines
784,1303,Abridged Audio - Misc. Nonfiction
785,1303,Ambição
786,1303,Audiobooks
787,1303,Business
788,1303,Business & Economics
789,1303,Conduct Of Life
790,1303,Control (Philosophy)
791,1303,Control (Psychology)
792,1303,Contrãole (Psychologie
793,1303,Contrôle (Psychologie)
794,1303,Contrôle (Psychologie.)
