,Unnamed: 0,Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Published Date,Maturity Rating,Description,Country,Retail Price,Currency
0,0,18400112,"The Devil Wears Scrubs (Dr. Jane McGill, #1)",Freida McFadden,"McFadden, Freida",,0,0,3,3.44,Hollywood Upstairs Publishing,Kindle Edition,328,2013,,2025-12-01,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
1,1,62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,0,0,4,3.73,William Morrow,Paperback,319,2023,,2023-12-10,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
2,2,58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,1982141190,9781982141196,0,4.6,Gallery / Saga Press,Kindle Edition,639,2023,,2025-12-01,to-read,to-read (#52),to-read,,,,0,0,2023-05-23,NOT_MATURE,"At the elite Catenan Academy, a young fugitive uncovers layered mysteries and world-changing secrets in this “brilliant and gut-churning masterpiece” (Library Journal, starred review) by the internationally bestselling author of The Licanius Trilogy, James Islington. The Catenan Republic—the Hierarchy—may rule the world now, but they do not know everything. I tell them my name is Vis Telimus. I tell them I was orphaned after a tragic accident three years ago, and that good fortune alone has led to my acceptance into their most prestigious school. I tell them that once I graduate, I will gladly join the rest of civilized society in allowing my strength, my drive, and my focus—what they call Will—to be leeched away and added to the power of those above me, as millions already do. As all must eventually do. I tell them that I belong, and they believe me. But the truth is that I have been sent to the Academy to find answers. To solve a murder. To search for an ancient weapon. To uncover secrets that may tear the Republic apart. And that I will never, ever cede my Will to the empire that executed my family. To survive though, I will still have to rise through the Academy’s ranks. I will have to smile, and make friends, and pretend to be one of them, and win. Because if I cannot, then those who want to control me, who know my real name, will no longer have any use for me. And if the Hierarchy finds out who I truly am, they will kill me.",US,16.99,USD
3,3,20886354,"Skin Deep (Legion, #2)",Brandon Sanderson,"Sanderson, Brandon",Jon Foster,0,0,4,4.12,Subterranean Press,Leather Bound,208,2014,2025-11-07,2025-11-07,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
4,4,58778536,Do Not Disturb,Freida McFadden,"McFadden, Freida",,0,0,3,3.9,Hollywood Upstairs Publishing,Kindle Edition,325,2021,2025-11-13,2025-11-18,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
5,5,40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,0,0,5,4.32,Avery,Kindle Edition,319,2018,2025-11-17,2025-02-16,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
6,6,22878967,"The Shadow of What Was Lost (The Licanius Trilogy, #1)",James  Islington,"Islington, James",,099258020X,9780992580209,0,4.14,Aslaradis Publishing,Paperback,595,2014,,2025-11-18,to-read,to-read (#51),to-read,,,,0,0,2014-08-01,NOT_MATURE,"""It has been twenty years since the end of the war. The dictatorial Augurs - once thought of almost as gods - were overthrown and wiped out during the conflict, their much-feared powers mysteriously failing them. Those who had ruled under them, men and women with a lesser ability known as the Gift, avoided the Augurs' fate only by submitting themselves to the rebellion's Four Tenets. A representation of these laws is now written into the flesh of any who use the Gift, forcing those so marked into absolute obedience."" As a student of the Gifted, Davian suffers the consequences of a war fought - and lost - before he was born. Despised by most beyond the school walls, he and those around him are all but prisoners as they attempt to learn control of the Gift. Worse, as Davian struggles with his lessons, he knows that there is further to fall if he cannot pass his final tests. But when Davian discovers he has the ability to wield the forbidden power of the Augurs, he sets into motion a chain of events that will change everything. To the north, an ancient enemy long thought defeated begins to stir. And to the west, a young man whose fate is intertwined with Davian's wakes up in the forest, covered in blood and with no memory of who he is...",US,,
7,7,42976986,Meditations,Marcus Aurelius,"Aurelius, Marcus",,0,0,0,4.28,GENERAL PRESS,Kindle Edition,171,180,,2025-03-11,to-read,to-read (#50),to-read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
8,8,37640636,"Lies of the Beholder (Legion, #3)",Brandon Sanderson,"Sanderson, Brandon",,159606885X,9781596068858,4,4.12,Subterranean Press,Hardcover,148,2018,2025-11-07,2025-11-07,,,read,,,,1,0,2018-12-18,NOT_MATURE,"""The third and final entry in the series""--Jacket.",US,,
9,9,13452375,"Legion (Legion, #1)",Brandon Sanderson,"Sanderson, Brandon",Deniz Evliyagil,1596064854,9781596064850,4,4.12,Subterranean Press,Hardcover,88,2012,2025-11-07,2025-11-07,,,read,,,,1,0,2012-01-01,NOT_MATURE,"""Stephen Leeds, AKA 'Legion,' is a man whose unique mental condition allows him to generate a multitude of personae: hallucinatory entities with a wide variety of personal characteristics and a vast array of highly specialized skills. As the story begins, Leeds and his 'aspects' are drawn into the search for the missing Balubal Razon, inventor of a camera whose astonishing properties could alter our understanding of human history and change the very structure of society""--From publisher descriptio",US,,
