Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18400112,"The Devil Wears Scrubs (Dr. Jane McGill, #1)",Freida McFadden,"McFadden, Freida",,"=""""","=""""",3,3.44,Hollywood Upstairs Publishing,Kindle Edition,328,2013,2013,,2025/12/01,,,read,,,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",4,3.73,William Morrow,Paperback,319,2023,2023,,2023/12/10,,,read,,,,1,0
58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,"=""1982141190""","=""9781982141196""",0,4.60,Gallery / Saga Press,Kindle Edition,639,2023,2023,,2025/12/01,to-read,to-read (#52),to-read,,,,0,0
20886354,"Skin Deep (Legion, #2)",Brandon Sanderson,"Sanderson, Brandon",Jon Foster,"=""""","=""""",4,4.12,Subterranean Press ,Leather Bound,208,2014,2014,2025/11/07,2025/11/07,,,read,,,,1,0
58778536,Do Not Disturb,Freida McFadden,"McFadden, Freida",,"=""""","=""""",3,3.90,Hollywood Upstairs Publishing,Kindle Edition,325,2021,2021,2025/11/13,2025/11/18,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",5,4.32,Avery,Kindle Edition,319,2018,2018,2025/11/17,2025/02/16,,,read,,,,1,0
22878967,"The Shadow of What Was Lost (The Licanius Trilogy, #1)",James  Islington,"Islington, James",,"=""099258020X""","=""9780992580209""",0,4.14,Aslaradis Publishing,Paperback,595,2014,2014,,2025/11/18,to-read,to-read (#51),to-read,,,,0,0
42976986,Meditations,Marcus Aurelius,"Aurelius, Marcus",,"=""""","=""""",0,4.28,GENERAL PRESS,Kindle Edition,171,2018,180,,2025/03/11,to-read,to-read (#50),to-read,,,,1,0
37640636,"Lies of the Beholder (Legion, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""159606885X""","=""9781596068858""",4,4.12,Subterranean Press,Hardcover,148,2018,2018,2025/11/07,2025/11/07,,,read,,,,1,0
13452375,"Legion (Legion, #1)",Brandon Sanderson,"Sanderson, Brandon",Deniz Evliyagil,"=""1596064854""","=""9781596064850""",4,4.12,Subterranean Press,Hardcover,88,2012,2012,2025/11/07,2025/11/07,,,read,,,,1,0
196915235,"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,"Weaver, Brynne",,"=""""","=""""",5,4.01,Zando,Kindle Edition,355,2023,2023,2025/11/06,2025/11/05,,,read,,,,1,0
