,Original Title,Release year,Genre,Duration,Country,Content Rating,Director,Income,Votes,Score
0,The Shawshank Redemption,1995-02-10 00:00:00,Drama,142,USA,R,Frank Darabont,28815245,2.278.845,9.3
1,The Godfather,1972-09-21 00:00:00,"Crime, Drama",175,USA,R,Francis Ford Coppola,246120974,1.572.674,9.2
2,The Dark Knight,2008-07-23 00:00:00,"Action, Crime, Drama",152,USA,PG-13,Christopher Nolan,1005455211,2.241.615,9.0
3,The Godfather: Part II,1975-09-25 00:00:00,"Crime, Drama",220,USA,R,Francis Ford Coppola,408035783,1.098.714,9.0
4,Pulp Fiction,1994-10-28 00:00:00,"Crime, Drama",0,USA,R,Quentin Tarantino,222831817,1.780.147,8.9
5,The Lord of the Rings: The Return of the King,2022-02-04 00:00:00,"Action, Adventure, Drama",201,New Zealand,PG-13,Peter Jackson,1142271098,1.604.280,8.9
6,Schindler's List,1994-03-11 00:00:00,"Biography, Drama, History",0,USA,R,Steven Spielberg,322287794,1.183.248,8.9
7,12 Angry Men,1957-09-04 00:00:00,"Crime, Drama",96,USA,Not Rated,Sidney Lumet,576,668.473,8.9
8,Inception,2010-09-24 00:00:00,"Action, Adventure, Sci-Fi",148,USA,PG-13,Christopher Nolan,869784991,2.002.816,8.8
9,Fight Club,1999-10-29 00:00:00,Drama,0,UK,R,David Fincher,101218804,1.807.440,8.8
10,Forrest Gump,1994-10-06 00:00:00,"Drama, Romance",142,USA,PG-13,Robert Zemeckis,678229452,1.755.490,8.8
11,The Lord of the Rings: The Fellowship of the Ring,2002-01-18 00:00:00,"Action, Adventure, Drama",0,New Zealand,PG-13,Peter Jackson,887934303,1.619.920,8.8
12,"Il buono, il brutto, il cattivo",1966-12-23 00:00:00,Western,161,Italy,Approved,Sergio Leone,25252481,672.499,8.8
14,The Matrix,1999-05-07 00:00:00,"Action, Sci-Fi",0,USA,R,"Lana Wachowski, Lilly Wachowski",465718588,1.632.315,8.7
15,The Lord of the Rings: The Two Towers,2003-01-16 00:00:00,"Action, Adventure, Drama",179,New Zealand,PG-13,Peter Jackson,951227416,1.449.778,8.7
16,Star Wars: Episode V - The Empire Strikes Back,1980-09-19 00:00:00,"Action, Adventure, Fantasy",0,USA,PG,Irvin Kershner,549265501,1.132.073,8.7
17,Goodfellas,1990-09-20 00:00:00,"Biography, Crime, Drama",146,USA,R,Martin Scorsese,46879633,991.505,8.7
18,One Flew Over the Cuckoo's Nest,1976-11-18 00:00:00,Drama,0,USA,R,Milos Forman,108997629,891.071,8.7
19,Interstellar,2014-11-06 00:00:00,"Adventure, Drama, Sci-Fi",169,USA,PG-13,Christopher Nolan,696742056,1.449.256,8.6
20,Se7en,1995-12-15 00:00:00,"Crime, Drama, Mystery",127,USA,R,David Fincher,327333559,1.402.015,8.6
21,The Silence of the Lambs,1991-03-05 00:00:00,"Crime, Drama, Thriller",118,USA,R,Jonathan Demme,272753884,1.234.134,8.6
22,Star Wars,1977-10-20 00:00:00,"Action, Adventure, Fantasy",121,USA,PG,George Lucas,775768912,1.204.107,8.6
23,Saving Private Ryan,1998-10-30 00:00:00,"Drama, War",169,USA,R,Steven Spielberg,482349603,1.203.825,8.6
24,The Green Mile,2000-10-03 00:00:00,"Crime, Drama, Fantasy",189,USA,R,Frank Darabont,286801374,1.112.336,8.6
25,Cidade de Deus,2003-05-09 00:00:00,"Crime, Drama",130,Brazil,R,"Fernando Meirelles, KÃ¡tia Lund",30680793,685.856,8.6
